爸爸,bà ba,(informal) father
北京,Běi jīng,Beijing
茶,chá,tea
吃,chī,to eat
出租车,chū zū chē,taxi
昨天,zuó tiān,yesterday
坐,zuò,to sit
做,zuò,to do
